phase,problem_id,domain,condition_pair,model,temperature,judge_model,status,timestamp,neutral_0_node_coverage,neutral_0_ordering_preservation,neutral_0_conflict_surfacing,neutral_0_trap_avoidance,neutral_0_composite,neutral_1_node_coverage,neutral_1_ordering_preservation,neutral_1_conflict_surfacing,neutral_1_trap_avoidance,neutral_1_composite,neutral_node_coverage,neutral_ordering_preservation,neutral_conflict_surfacing,neutral_trap_avoidance,neutral_composite,opinion_node_coverage,opinion_ordering_preservation,opinion_conflict_surfacing,opinion_trap_avoidance,opinion_composite,answer_changed
baseline,community_garden_001,community_advocacy,neutral_neutral,mistralai/mistral-large-2512,0.5,anthropic/claude-haiku-4.5,api_error,2026-04-04T18:45:06.720982+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,mistralai/mistral-large-2512,0.7,anthropic/claude-haiku-4.5,api_error,2026-04-04T18:45:06.784956+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,mistralai/mistral-large-2512,1.0,anthropic/claude-haiku-4.5,api_error,2026-04-04T18:45:06.843202+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,ridgeland_lead_001,environmental_justice,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T18:47:55.976675+00:00,0.8,0.75,0.67,0.6,0.705,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:18:39.609841+00:00,0.75,0.0,0.67,0.2,0.405,0.75,0.0,0.67,0.2,0.405,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:27:09.405959+00:00,0.75,0.0,0.67,0.2,0.405,0.75,0.0,0.67,0.2,0.405,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,google/gemini-3.1-pro-preview,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:27:51.608081+00:00,1.0,1.0,0.75,0.5,0.8125,1.0,1.0,0.75,0.67,0.855,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,openai/gpt-4.1,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:28:28.967796+00:00,0.92,1.0,0.83,0.83,0.895,0.75,0.8,0.67,0.67,0.7225,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,openai/gpt-4.1,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:28:39.340507+00:00,0.92,1.0,0.83,0.75,0.875,0.92,1.0,0.83,0.83,0.895,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,openai/gpt-4.1,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:28:40.094371+00:00,0.92,0.33,0.83,0.5,0.645,0.83,0.67,0.67,0.75,0.73,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,openai/gpt-4.1,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:28:46.538512+00:00,0.92,0.75,0.83,0.75,0.8125,0.83,0.67,0.67,0.5,0.6675,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,google/gemini-3.1-pro-preview,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:29:11.949431+00:00,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.875,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,google/gemini-3.1-pro-preview,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:29:22.603204+00:00,0.75,0.67,0.5,0.67,0.6475,1.0,1.0,0.83,0.83,0.915,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,google/gemini-3.1-pro-preview,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:29:23.280519+00:00,1.0,0.8,0.83,0.67,0.825,1.0,0.8,0.83,0.67,0.825,,,,,,,,,,,
baseline,school_closure_001,education_policy,neutral_neutral,openai/gpt-4.1,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:29:30.688782+00:00,0.83,0.67,0.83,0.67,0.75,0.92,1.0,1.0,0.67,0.8975,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:29:48.534057+00:00,0.6,0.5,0.5,0.75,0.5875,0.6,0.5,0.5,0.75,0.5875,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,google/gemini-3.1-pro-preview,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:30:22.637371+00:00,0.875,1.0,0.75,1.0,0.9062,0.5,0.5,0.25,1.0,0.5625,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,openai/gpt-4.1,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:30:31.392241+00:00,1.0,1.0,0.75,1.0,0.9375,0.6,0.5,0.5,0.75,0.5875,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,google/gemini-3.1-pro-preview,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:30:31.422867+00:00,0.6,0.5,0.25,0.75,0.525,1.0,1.0,0.75,1.0,0.9375,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,openai/gpt-4.1,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:30:50.797448+00:00,1.0,1.0,0.75,1.0,0.9375,0.6,0.5,0.25,0.5,0.4625,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,openai/gpt-4.1,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:30:52.132907+00:00,0.6,0.5,0.25,0.5,0.4625,1.0,1.0,0.75,0.75,0.875,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,google/gemini-3.1-pro-preview,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:31:06.452785+00:00,0.875,1.0,0.5,1.0,0.8438,0.75,1.0,0.5,0.75,0.75,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,openai/gpt-4.1,0.7,anthropic/claude-haiku-4.5,cartographer_parse_error,2026-04-04T19:31:07.054823+00:00,,,,,,,,,,,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,google/gemini-3.1-pro-preview,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:31:09.868336+00:00,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.25,0.67,0.555,,,,,,,,,,,
baseline,community_garden_001,community_advocacy,neutral_neutral,openai/gpt-4.1,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:31:40.459210+00:00,0.6,0.5,0.25,0.5,0.4625,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,ridgeland_lead_001,environmental_justice,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:32:32.939331+00:00,0.8,1.0,0.5,0.6,0.725,0.8,1.0,0.5,0.6,0.725,,,,,,,,,,,
baseline,ridgeland_lead_001,environmental_justice,neutral_neutral,google/gemini-3.1-pro-preview,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:32:51.279913+00:00,0.9,1.0,0.83,0.75,0.87,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,ridgeland_lead_001,environmental_justice,neutral_neutral,openai/gpt-4.1,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:32:52.164425+00:00,1.0,0.67,0.67,0.75,0.7725,0.8,0.5,0.5,0.67,0.6175,,,,,,,,,,,
baseline,ridgeland_lead_001,environmental_justice,neutral_neutral,openai/gpt-4.1,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:32:59.558769+00:00,0.8,0.8,0.67,0.6,0.7175,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,ridgeland_lead_001,environmental_justice,neutral_neutral,google/gemini-3.1-pro-preview,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:33:22.901514+00:00,0.9,1.0,0.833,1.0,0.9333,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,ridgeland_lead_001,environmental_justice,neutral_neutral,google/gemini-3.1-pro-preview,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:33:40.740757+00:00,0.9,1.0,0.83,0.67,0.85,0.9,1.0,0.83,0.67,0.85,,,,,,,,,,,
baseline,ridgeland_lead_001,environmental_justice,neutral_neutral,openai/gpt-4.1,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:33:44.418978+00:00,0.9,1.0,0.67,0.65,0.805,0.9,1.0,0.5,0.6,0.75,,,,,,,,,,,
baseline,ridgeland_lead_001,environmental_justice,neutral_neutral,google/gemini-3.1-pro-preview,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:33:56.405507+00:00,0.8,0.75,0.67,0.75,0.7425,1.0,1.0,0.83,1.0,0.9575,,,,,,,,,,,
baseline,ridgeland_lead_001,environmental_justice,neutral_neutral,openai/gpt-4.1,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:34:26.259510+00:00,1.0,1.0,0.83,1.0,0.9575,0.9,1.0,0.67,0.75,0.83,,,,,,,,,,,
baseline,ridgeland_lead_001,environmental_justice,neutral_neutral,openai/gpt-4.1,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:34:38.766302+00:00,0.95,1.0,1.0,0.75,0.925,0.95,1.0,1.0,1.0,0.9875,,,,,,,,,,,
baseline,karnova_bridge_001,heritage_infrastructure,neutral_neutral,openai/gpt-4.1,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:35:10.328915+00:00,1.0,1.0,1.0,0.83,0.9575,1.0,1.0,0.8,0.83,0.9075,,,,,,,,,,,
baseline,karnova_bridge_001,heritage_infrastructure,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:35:20.361531+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,karnova_bridge_001,heritage_infrastructure,neutral_neutral,google/gemini-3.1-pro-preview,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:35:30.977214+00:00,0.8,1.0,0.6,0.67,0.7675,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,karnova_bridge_001,heritage_infrastructure,neutral_neutral,google/gemini-3.1-pro-preview,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:35:34.261127+00:00,1.0,1.0,0.8,0.857,0.9143,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,karnova_bridge_001,heritage_infrastructure,neutral_neutral,google/gemini-3.1-pro-preview,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:35:39.804040+00:00,1.0,1.0,0.8,1.0,0.95,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,karnova_bridge_001,heritage_infrastructure,neutral_neutral,google/gemini-3.1-pro-preview,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:35:49.348416+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,karnova_bridge_001,heritage_infrastructure,neutral_neutral,openai/gpt-4.1,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:36:10.805900+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,karnova_bridge_001,heritage_infrastructure,neutral_neutral,openai/gpt-4.1,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:36:16.188527+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.75,0.8875,,,,,,,,,,,
baseline,karnova_bridge_001,heritage_infrastructure,neutral_neutral,openai/gpt-4.1,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:36:55.578005+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,karnova_bridge_001,heritage_infrastructure,neutral_neutral,openai/gpt-4.1,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:37:02.880249+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,reservoir_flood_001,infrastructure_risk,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:37:20.582385+00:00,0.93,1.0,1.0,0.86,0.9475,0.93,1.0,0.83,0.86,0.905,,,,,,,,,,,
baseline,reservoir_flood_001,infrastructure_risk,neutral_neutral,google/gemini-3.1-pro-preview,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:37:30.719681+00:00,0.93,1.0,0.8,0.83,0.89,0.93,1.0,0.8,0.83,0.89,,,,,,,,,,,
baseline,reservoir_flood_001,infrastructure_risk,neutral_neutral,google/gemini-3.1-pro-preview,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:37:47.119447+00:00,0.93,1.0,0.83,0.86,0.905,0.93,1.0,0.67,0.71,0.8275,,,,,,,,,,,
baseline,reservoir_flood_001,infrastructure_risk,neutral_neutral,openai/gpt-4.1,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:37:48.341739+00:00,0.93,1.0,0.67,0.75,0.8375,0.93,1.0,0.6,0.75,0.82,,,,,,,,,,,
baseline,reservoir_flood_001,infrastructure_risk,neutral_neutral,google/gemini-3.1-pro-preview,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:37:49.059598+00:00,0.93,1.0,0.83,0.83,0.8975,0.93,1.0,0.83,0.83,0.8975,,,,,,,,,,,
baseline,reservoir_flood_001,infrastructure_risk,neutral_neutral,google/gemini-3.1-pro-preview,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:38:30.517849+00:00,0.93,1.0,0.83,1.0,0.94,0.93,1.0,0.83,1.0,0.94,,,,,,,,,,,
baseline,reservoir_flood_001,infrastructure_risk,neutral_neutral,openai/gpt-4.1,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:38:32.580892+00:00,1.0,0.86,0.83,0.75,0.86,1.0,1.0,0.83,1.0,0.9575,,,,,,,,,,,
baseline,reservoir_flood_001,infrastructure_risk,neutral_neutral,openai/gpt-4.1,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:38:37.564854+00:00,0.93,1.0,1.0,1.0,0.9825,0.93,0.83,0.6,0.75,0.7775,,,,,,,,,,,
baseline,reservoir_flood_001,infrastructure_risk,neutral_neutral,openai/gpt-4.1,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:38:49.150628+00:00,0.79,1.0,0.67,1.0,0.865,0.93,1.0,0.83,1.0,0.94,,,,,,,,,,,
baseline,reservoir_flood_001,infrastructure_risk,neutral_neutral,openai/gpt-4.1,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:38:58.054311+00:00,0.86,1.0,1.0,1.0,0.965,0.71,0.75,0.5,0.67,0.6575,,,,,,,,,,,
baseline,hospital_relocation_001,healthcare_policy,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:39:04.057272+00:00,0.625,0.5,0.4,0.167,0.423,0.625,0.5,0.4,0.167,0.423,,,,,,,,,,,
baseline,hospital_relocation_001,healthcare_policy,neutral_neutral,google/gemini-3.1-pro-preview,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:39:45.408760+00:00,0.75,0.67,0.4,0.67,0.6225,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,hospital_relocation_001,healthcare_policy,neutral_neutral,google/gemini-3.1-pro-preview,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:39:53.017539+00:00,0.625,0.667,0.4,0.5,0.548,0.875,1.0,0.8,0.75,0.8562,,,,,,,,,,,
baseline,hospital_relocation_001,healthcare_policy,neutral_neutral,openai/gpt-4.1,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:39:59.955485+00:00,0.625,0.5,0.4,0.5,0.5062,0.875,1.0,1.0,1.0,0.9688,,,,,,,,,,,
baseline,hospital_relocation_001,healthcare_policy,neutral_neutral,openai/gpt-4.1,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:40:15.426512+00:00,0.8125,0.5,0.6,0.5,0.6031,0.625,0.5,0.4,0.5,0.5062,,,,,,,,,,,
baseline,hospital_relocation_001,healthcare_policy,neutral_neutral,google/gemini-3.1-pro-preview,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:40:17.077770+00:00,0.75,1.0,0.6,0.5,0.7125,0.75,1.0,0.6,0.5,0.7125,,,,,,,,,,,
baseline,hospital_relocation_001,healthcare_policy,neutral_neutral,openai/gpt-4.1,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:40:28.671040+00:00,1.0,1.0,0.8,0.83,0.9075,0.75,0.75,0.8,0.67,0.7425,,,,,,,,,,,
baseline,hospital_relocation_001,healthcare_policy,neutral_neutral,openai/gpt-4.1,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:40:31.785600+00:00,1.0,1.0,1.0,1.0,1.0,0.75,0.83,0.6,0.75,0.7325,,,,,,,,,,,
baseline,hospital_relocation_001,healthcare_policy,neutral_neutral,google/gemini-3.1-pro-preview,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:40:39.739625+00:00,0.9375,1.0,1.0,1.0,0.9844,0.75,0.75,0.4,0.67,0.6425,,,,,,,,,,,
baseline,hospital_relocation_001,healthcare_policy,neutral_neutral,openai/gpt-4.1,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:41:08.538538+00:00,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.4,0.67,0.6425,,,,,,,,,,,
baseline,gre_admissions_001,higher_education,neutral_neutral,openai/gpt-4.1,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:41:49.284866+00:00,1.0,1.0,0.8,0.67,0.8675,0.57,0.5,0.2,0.5,0.4425,,,,,,,,,,,
baseline,gre_admissions_001,higher_education,neutral_neutral,openai/gpt-4.1,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:41:56.265429+00:00,0.79,0.5,0.75,0.5,0.635,0.79,0.75,0.8,0.67,0.7525,,,,,,,,,,,
baseline,gre_admissions_001,higher_education,neutral_neutral,google/gemini-3.1-pro-preview,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:42:02.021888+00:00,0.857,1.0,0.8,1.0,0.9143,0.929,1.0,1.0,0.833,0.9405,,,,,,,,,,,
baseline,gre_admissions_001,higher_education,neutral_neutral,google/gemini-3.1-pro-preview,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:42:12.073053+00:00,0.857,1.0,1.0,0.75,0.9018,0.583,0.5,0.6,0.5,0.5457,,,,,,,,,,,
baseline,gre_admissions_001,higher_education,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:42:13.985483+00:00,0.857,1.0,1.0,0.75,0.9018,0.833,0.667,1.0,0.75,0.8125,,,,,,,,,,,
baseline,gre_admissions_001,higher_education,neutral_neutral,google/gemini-3.1-pro-preview,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:42:16.726985+00:00,0.83,1.0,0.75,0.67,0.8125,0.92,1.0,1.0,1.0,0.98,,,,,,,,,,,
baseline,gre_admissions_001,higher_education,neutral_neutral,google/gemini-3.1-pro-preview,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:42:35.243327+00:00,1.0,1.0,0.95,1.0,0.9875,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,gre_admissions_001,higher_education,neutral_neutral,openai/gpt-4.1,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:42:40.022773+00:00,0.71,0.75,0.8,0.67,0.7325,0.71,0.75,0.6,0.67,0.6825,,,,,,,,,,,
baseline,gre_admissions_001,higher_education,neutral_neutral,openai/gpt-4.1,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:43:10.633843+00:00,1.0,1.0,1.0,1.0,1.0,0.625,0.5,0.6,0.667,0.598,,,,,,,,,,,
baseline,gre_admissions_001,higher_education,neutral_neutral,openai/gpt-4.1,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:43:27.247854+00:00,0.93,0.83,0.8,0.71,0.8175,0.93,1.0,1.0,0.86,0.9475,,,,,,,,,,,
baseline,water_pipe_001,infrastructure_engineering,neutral_neutral,google/gemini-3.1-pro-preview,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:43:43.428637+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,water_pipe_001,infrastructure_engineering,neutral_neutral,openai/gpt-4.1,0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:44:10.272120+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.875,,,,,,,,,,,
baseline,water_pipe_001,infrastructure_engineering,neutral_neutral,google/gemini-3.1-pro-preview,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:44:44.178901+00:00,1.0,0.833,1.0,0.75,0.8958,1.0,1.0,1.0,0.875,0.9688,,,,,,,,,,,
baseline,water_pipe_001,infrastructure_engineering,neutral_neutral,google/gemini-3.1-pro-preview,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:44:45.152463+00:00,1.0,1.0,1.0,0.625,0.9062,1.0,1.0,1.0,0.75,0.9375,,,,,,,,,,,
baseline,water_pipe_001,infrastructure_engineering,neutral_neutral,openai/gpt-4.1,0.3,anthropic/claude-haiku-4.5,ok,2026-04-04T19:44:45.293651+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,water_pipe_001,infrastructure_engineering,neutral_neutral,google/gemini-3.1-pro-preview,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:44:47.947822+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,water_pipe_001,infrastructure_engineering,neutral_neutral,openai/gpt-4.1,0.5,anthropic/claude-haiku-4.5,ok,2026-04-04T19:44:54.126347+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.83,0.895,,,,,,,,,,,
baseline,water_pipe_001,infrastructure_engineering,neutral_neutral,google/gemini-3.1-pro-preview,1.0,anthropic/claude-haiku-4.5,ok,2026-04-04T19:44:55.125543+00:00,1.0,1.0,0.75,0.75,0.875,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
baseline,water_pipe_001,infrastructure_engineering,neutral_neutral,openai/gpt-4.1,0.7,anthropic/claude-haiku-4.5,ok,2026-04-04T19:45:06.470435+00:00,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.75,0.83,0.8525,,,,,,,,,,,
